"filename", "language", "Python", "JSON", "comment", "blank", "total"
"f:\Fool_server\fool_server\__init__.py", "Python", 0, 0, 0, 1, 1
"f:\Fool_server\fool_server\api\__init__.py", "Python", 0, 0, 0, 1, 1
"f:\Fool_server\fool_server\api\assets.py", "Python", 0, 0, 0, 1, 1
"f:\Fool_server\fool_server\api\query.py", "Python", 73, 0, 11, 21, 105
"f:\Fool_server\fool_server\api\sequences.py", "Python", 118, 0, 12, 49, 179
"f:\Fool_server\fool_server\api\vars.py", "Python", 41, 0, 11, 21, 73
"f:\Fool_server\fool_server\assetConfigBuild.py", "Python", 53, 0, 7, 17, 77
"f:\Fool_server\fool_server\assets_db_init.py", "Python", 18, 0, 2, 6, 26
"f:\Fool_server\fool_server\data\__init__.py", "Python", 0, 0, 0, 1, 1
"f:\Fool_server\fool_server\data\config\assetsConfig.json", "JSON", 0, 316, 0, 0, 316
"f:\Fool_server\fool_server\data\config\sequencesConfig.json", "JSON", 0, 191, 0, 0, 191
"f:\Fool_server\fool_server\data\global_variables.py", "Python", 56, 0, 13, 17, 86
"f:\Fool_server\fool_server\data\global_variables_OS.py", "Python", 22, 0, 10, 8, 40
"f:\Fool_server\fool_server\elementsTest.py", "Python", 100, 0, 14, 29, 143
"f:\Fool_server\fool_server\main.py", "Python", 170, 0, 1, 69, 240
"f:\Fool_server\fool_server\modules\__init__.py", "Python", 0, 0, 0, 1, 1
"f:\Fool_server\fool_server\modules\config\fileStucture.py", "Python", 3, 0, 0, 0, 3
"f:\Fool_server\fool_server\modules\config\structures.py", "Python", 53, 0, 0, 13, 66
"f:\Fool_server\fool_server\modules\db_interactions\END_data.py", "Python", 2, 0, 0, 0, 2
"f:\Fool_server\fool_server\modules\db_interactions\__init__.py", "Python", 0, 0, 0, 1, 1
"f:\Fool_server\fool_server\modules\db_interactions\assets_updates.py", "Python", 104, 0, 6, 32, 142
"f:\Fool_server\fool_server\modules\db_interactions\assets_updates_2.py", "Python", 65, 0, 6, 18, 89
"f:\Fool_server\fool_server\modules\db_interactions\create_tables.py", "Python", 67, 0, 0, 15, 82
"f:\Fool_server\fool_server\modules\db_interactions\db_updates.py", "Python", 41, 0, 3, 22, 66
"f:\Fool_server\fool_server\modules\db_interactions\insert_data.py", "Python", 56, 0, 2, 21, 79
"f:\Fool_server\fool_server\modules\db_interactions\populate_files_db.py", "Python", 48, 0, 2, 31, 81
"f:\Fool_server\fool_server\modules\db_interactions\query_data.py", "Python", 173, 0, 16, 60, 249
"f:\Fool_server\fool_server\modules\db_interactions\sequences\__init__.py", "Python", 0, 0, 0, 1, 1
"f:\Fool_server\fool_server\modules\db_interactions\sequences\create_sequence_tables.py", "Python", 33, 0, 0, 8, 41
"f:\Fool_server\fool_server\modules\db_interactions\sequences\insert_data_sequences.py", "Python", 37, 0, 2, 16, 55
"f:\Fool_server\fool_server\modules\db_interactions\sequences\populate_sequences_db.py", "Python", 10, 0, 0, 17, 27
"f:\Fool_server\fool_server\modules\db_interactions\sequences\query_data_sequences.py", "Python", 119, 0, 11, 40, 170
"f:\Fool_server\fool_server\modules\ftrack_interactions\__init__.py", "Python", 0, 0, 0, 1, 1
"f:\Fool_server\fool_server\modules\ftrack_interactions\create_ftrack.py", "Python", 21, 0, 0, 20, 41
"f:\Fool_server\fool_server\modules\utilities\__init.py", "Python", 0, 0, 0, 1, 1
"f:\Fool_server\fool_server\modules\utilities\wrappers.py", "Python", 9, 0, 0, 1, 10
"f:\Fool_server\fool_server\sequences_db_init.py", "Python", 19, 0, 1, 9, 29
"f:\Fool_server\fool_server\shotConfigBuild.py", "Python", 53, 0, 13, 17, 83
"f:\Fool_server\fool_server\test1.py", "Python", 45, 0, 1, 20, 66
"f:\Fool_server\fool_server\test2.py", "Python", 204, 0, 18, 77, 299
"f:\Fool_server\fool_server\test\__init__.py", "Python", 0, 0, 0, 1, 1
"f:\Fool_server\fool_server\test\search_test.py", "Python", 109, 0, 2, 13, 124
"Total", "-", 1922, 507, 164, 697, 3290